Nom;Secteurs d'activité;Adresse du siège social;CP;Localité;Email
Association pour la promotion des echanges nord-sud (apens);Tourisme;Rue du Nespériat 4;6530;Thuin;nherbecq@hotmail.com
Association royale des commerçants et indépendants de masses diarbois et tailleny;Affaires sociales;Rue Masses Diarbois 10;6043;Ransart;contact@ransart.me
Associazione pugliesi di charleroi (a.p.c.);Tourisme;Grand Rue 223;6000;Charleroi;cazzetta@skynet.be
Automobile club b.o.r.;Sport / Loisirs;Place des Martyrs 18c;6040;Jumet;ambre080193@hotmail.com
Avenir triathlon club  charleroi;Sport / Loisirs;Place Emile Vandervelde 5;6061;Montignies-sur-Sambre;jean.ficheroulle@freeworld.be
Bc ransart charleroi;Sport;Rue Tantenne 20;6043;Ransart;alain.bcransart@gmail.com
Bibliothèque de les bons villers;Culture;Rue Ernest Solvay 69;6211;Mellet;ziza_juste@yahoo.fr
Boite noire;Culture;Rue de la Jonquière 38;6180;Courcelles;zesheewa@gmail.com
Centre canin de formation;Bien-être des animaux;Rue René Delhaize 160;6043;Ransart;eric.quertinmont@gmail.com
Centre culturel régional de charleroi / eden;Culture;Boulevard Jacques Bertrand 3;6000;Charleroi;debbie@eden-charleroi.be
Centre de santé mentale;Santé;Rue Léon Bernus 18;6000;Charleroi;csm@cpascharleroi.be
Centre d'information et d'education populaire du mouvement ouvrier chrétien;Education / Formation;Boulevard Tirou 167;6000;Charleroi;fabrice.eeklaer@moc-ct.be
Centre d'initiatives locales;Emploi / formation;Rue Kennedy 150;6250;Aiseau-Presles;cil@bmedia.be
Centre ener'j;Enfance / Jeunesse;Chaussée de Lodelinsart 64;6060;Gilly;
Centre régional d'intégration de charleroi;Immigration /Intégration;Rue Hanoteau 23;6060;Gilly;info@cricharleroi.be
Cercle graphique et culturel de charleroi;Culture;Boulevard Roullier 1;6000;Charleroi;cgcc1970@gmail.com
Cercle philatélique gosselien;Loisirs;Chaussée de Nivelles 298;6041;Gosselies;polverhaeghe2009@hotmail.com
Cercle royal des sous-officiers retraités province de hainaut;Seniors;Rue de Sartiau 43;6530;Thuin;cauwgerard@live.be
Chorale royale les xvi;Culture;Rue des Déportés 150;6032;Mont-Sur-Marchienne;lesxvi@hotmail.com
Chronoplanet;Education / Formation;Rue Beaulieusart 148;6140;Fontaine-l'Evêque;laurent7171@ibelgique.com
Club education canine charleroi;Bien-être des animaux;Rue Paul Pastur 33;6042;Lodelinsart;luc.willame@hotmail.com
Comité amérique centrale de charleroi;Affaires Sociales;RUe Sohier 98;6031;Monceau-sur-Sambre;grignardphilippe@gmail.com
Comité croix rouge (gilly-ransart);Santé /Bien-Etre;Rue Tantenne 95;6043;Ransart;christiancdp@skynet.be
Comité de quartier charleroi nord;Affaires sociales;Grand rue 223;6000;Charleroi;nitelet.carmen@belgacom.net
Compagnie du campus;Culture;Place de La Hestre 19;7170;La Hestre;info@compagnieducampus.be
Congo secours plus;Immigration / Intégration;Rue du Bois 37;6010;Couillet;congosecoursplus@hotmail.be
Contrat de rivière sambre & affluents;Nature / Environnement;Rue de Monceau Fontaines 42 bte 20;6031;Monceau-Sur-Sambre;info@crsambre.be
Service de coordination des soins à domicile de la ville de charleroi;Santé;Espace santé, Boulevard Zoé Drion 1 (2é étage);6000;Charleroi;
Coordination drogues - centre d'accueil trait d'union;Santé;Rue Tumelaire 80;6000;Charleroi;cps.coord.drogue@charleroi.be
Decibels rock;Culture;Rue Léon Fayt 16;6142;Leernes;nirvana-sliver@hotmail.com
Défi nature;Nature / environnement;Place Communale 20c;6230;Pont-à-Celles;contact@defi-nature.be
Dîma rêves;Affaires sociales;Rue Chapelle Beaussart 77;6032;Mont-sur-Marchienne;jamcultures@hotmail.com
Direction de la prévention et de la sécurité;Affaires sociales;Chaussée de Nivelles 177;6041;Gosselies;dominique.denis@charleroi.be
Divertisport;Sport / Loisirs;Rue Chaussée 242;6141;Forchies-La-Marche;rafael@divertisport.be
Ecole de l'alliance;Enseignement;Route de Mons 108;6031;Monceau-sur-Sambre;ecole.alliance@brutele.be
J.J.J.C.R. Ecole Royale ransartoire de judo SALVATORE BUGLI ET D.A;Sport;Rue des carabiniers 18A;6043;Ransart;jjjcr@erjudo-salvatore-bugli.com
Elevage d'aulne;Sport / loisirs;Rue Auguste Farcy 19;6534;Gozée;bverstichel@gmail.com
Ensemble instrumental robert tourneur;Culture;Rue A. Desy 54;6031;Monceau-sur-Sambre;Bernadette.Martin@charleroi.be
Ernelle monceau;Sport / Loisirs;Avenue de l'Europe 25;6031;Monceau-sur-Sambre;jeanmignot@live.be
Espace jeunes;Jeunesse;Rue de savoie 8;7130;Binche;espacejeunesbinche@skynet.be
Etap vélo-répart vélo;Sport / Tourisme;Rue de la Providence 20;6030;Marchienne-au-Pont;etapvelo@live.fr
Eventi italiani;immigration / Intégration;Rue des Cayats 41;6001;Marcinelle;festa-italia@hotmail.com
Fantasy moon productions;Culture;Rue Longue 37;6060;Gilly;admin@fantasymoonprod.com
For'j Federation et organisation de jeunesse;Jeunesse;Rue de Monceau-Fontaine 35 A;6031;Monceau-sur-Sambre;info@forj.be
Association pour le developpement a charleroi d'actions collectives de formation pour l'universite ouverte;Formation;Avenue des Alliés 19;6000;Charleroi;funoc@funoc.be
Gallins montagnards;Sport;Avenue du Centenaire 216;6061;Monceau-sur-Sambre;jonathan.debauche@gmail.com
Global street défense;Sport;Rue Danvoi  11;6220;Lambusart;lazzanop@hotmail.com
Horizon f;Affaires Sociales;Rue Tchet 63;6240;Farciennes;lambot.laetitia@gmail.com
Jeunes organisés combatifs (joc);Jeunesse;Boulevard Tirou 167;6000;Charleroi;joccharleroi@joc.be
Jeunesse et santé;Jeunesse / Loisirs;Boulevard Tirou 167;6000;Charleroi;js.anderlues@mc.be
Kipepeo;Immigration /Intégration;Rue Germaine Dewandre 9;6032;Mont-sur-Marchienne;associationkipepeo@hotmail.com
La benoite;Nature / Environnement;Rue Ferrée  78;6120;Nalinnes;paul.mullier@skynet.be
La cabane de la caillette;Enfance / jeunesse;Rue de la Caillette 30;6044;Roux;moermanvirginie@gmail.com
La consoude;Affaires sociales;Rue Bethléem 36;6000;Charleroi;laconsoude@gmail.com
La maison du conte de charleroi;Culture;Boulevard Tirou 53;6000;Charleroi;maisonducontecharleroi@gmail.com
La malle aux mots;Culture;Rue Taillée Voie 17;6230;Buzet;zzt789@hotmail.com
La mémoire des maîtres verriers .be;Culture/Tourisme;Rue des Hauchies 53/1;6042;Lodelinsart;pierreromain@live.be
Le ranch du terril;Loisirs;rue du Chemin de Fer 51;6030;Marchienne-au-Pont;anne_fraeys@hotmail.com
Le ruchot;Nature / Environnement;Rue Ry Oursel 24;6001;Marcinelle;eddy.piron@belgacom.net
Le studio danse;Culture;Rue de la Grande Chenevière  208;6001;Marcinelle;spiro.dh@scarlet.be
L'entente carolorégienne de scrabble;Loisirs;Rue de la Plagne 49;6110;Montigny-le-Tilleul;brevearcadie@skynet.be
Les amis de la  ruche verrière;Affaires sociales;Place Edmond Gilles 20;6042;Lodelinsart;line.manouvrier@gmail.com
Amis de la nature section de Marcinelle et Charleroi;Nature / environnement;Rue Grande Chenevière 117;6001;Marcinelle;janmarcinelle@versatel.fr
Les amis du C.E.F.A. henri dunant charleroi;Enseignement;Rue Emile Vandervelde 28;6030;Marchienne-au-Pont;lesamisducefa@yahoo.fr
Les amis du château de cartier;gestion / Tourisme;Place Albert 1er 38;6030;Marchienne-au-Pont;
Les cent noms;Culture / Tourisme;Avenue Emile Vandervelde 33;6200;Bouffioulx;les-cent-noms@skynet.be
Les jardins de l'odyssée;Culture;Quai de Brabant 20;6000;Charleroi;roccetti.michel@hainaut.be
Les mots dansés;Culture;Rue du Vieux moulin 90;6001;Marcinelle;crispincecile@gmail.com
L'union pour l'humanité et le développement des villages;Affaires Sociales;Rue de Marcinelle  196/013;6032;Mont-sur-Marchienne;lapetitesouris@yahoo.fr
Maison d'accueil l'hôtel social;Affaires sociales;Rue du Ravin 46;6042;Lodelinsart;hotelsocial@cpascharleroi.be
Marchienne babel;Culture;Rue de l'Abattoir 12 bte3;6030;Marchienne-au-Pont;marchienne.babel@gmail.com
Mission Regionale pour l'insertion et l'emploi a charleroi;Emploi / formation;Rue de Trazegnies 41;6031;Monceau-sur-Sambre;accueil@mirec.net
Mission cattolica italiana;Culte;Route de Mons 73;6030;Marchienne-au-Pont;zafra4200@yahoo.it
Mouvance;Culture;Rue du Fer à Cheval 40;6110;Montigny-le-Tilleul;commu@mouvance-asbl.be
Mouvement des femmes prévoyantes socialistes de Charleroi;Affaires sociales;Place Charles II 24;6000;Charleroi;fps.charleroi.be -fps.charleroi@solidaris.be
Musée du sporting de charleroi;Sport / Loisirs;Rue François Deniest 14;6040;Jumet;chanelle-maya-he@hotmail.com
Orbitale;Culture;Rue de Marcinelle 30 a;6000;Charleroi;orbitale_asbl@skynet.be
Ors espace libre;Affaires Sociales;Rue Léon Bernus 27;6000;Charleroi;contact@espacelibre.be
PAC-regionale  charleroi (presence et action culturelles);Culture;Rue de la Science 9;6000;Charleroi;info@pac-charleroi.be
Pac de gilly;Culture;Rue Bon Air  8C;6041;Gosselies;pacgilly@gmail.com
Pardon  de marchienne;Culture / Tourisme;Rue du Nord 48;6060;Gilly;y.cornil@skynet.be
Pescalune;Culture;Rue du Longtry 49;6032;Mont-sur-Marchienne;phanyleclef@hotmail.com
Pigeon et bantam club de charleroi (p.b.c.c.);Loisirs;Rue Bara 68;6040;Jumet;minsart@hotmail.com
Prisme et résonances;Santé;Rue Grande Chenevière 32;6001;Marcinelle;nicole.lefief@skynet.be
Quartier monceau parc;Affaires Sociales;Rue Monceau-fontaine 42/9;6031;Monceau Sur Sambre;qmp@ibelgique.be
Quelque chose à faire;Emploi / formation;Rue Monceau-Fontaine 42/4;6031;Monceau-sur-Sambre;qcaf@qcaf.be
Royal Amicale club sportif Couillet - ne souhaite plus figurer;Sport / Loisirs;Rue de l'Ethiopie 47;6010;Couillet;racs.secretariat@euphonynet.be
Radio bonheur 100.8 fm;Culture;Rue de la Baille 42;6180;Courcelles;mikechevalier@euphonynet.be
Réseau financite;gestion et finances;rue de Marcinelle 30;6000;Charleroi;namur_hainaut@financite.be
Réseau globe starter (rgs);immigration / Intégration;Rue Charles Dupret 1;6000;Charleroi;kabuikaodon@yahoo.fr
Revelation media;Culte;Route de Mons 106;6031;Monceau-sur-Sambre;revelationmedia@brutele.be
Rond-point;Education;Grand rue 185;6000;Charleroi;nackers_e@hotmail.com
Scolarité et santé des enfants de brousse du bas-congo;Affaires sociales;Rue  du Presbytère 30;6000;Charleroi;ssebbascongo@outlook.be
Secours populaire wallonie-bruxelles;Affaires Sociales;Rue Jules Destrée 11;6020;Dampremy;robert.tangre@skynet.be
Secteur 42;Jeunesse;Rue Albert Delwarte 34;6042;Lodelinsart;info@secteur42.be
Service d'insertion socio-professionnelle;Emploi / formation;Rue Brigade Piron 332;6061;Montignies-sur-Sambre;inpprt@skynet.be / sisps@swing.be
Shoto karaté-do fontaine-l'evêque;Sport;Rue Longue Haie 12;6142;Leernes;info@karate-jka.com
Shotokan ryu aerden ha karatedo;Sport;Rue Bennert 8;6040;Jumet;mhaerden@hotmail.com
Silatador pencak défense;Sport;Rue des Champs, 32;6200;Châtelet;julesbureau418@hotmail.com
Style and move studio;Sport / Loisirs;Route de Beaumont 309;6030;Marchienne-au-Pont;tj@styleandmove.be
Tak/tak asbl;Culture;Rue des Francs 38;6001;Marcinelle;taktakasbl@gmail.com
Temps danses urbaines;Culture;Rue Devillez  43;6060;Gilly;info@tempsdansesurbaines.be
Tous pour stéphanie;Dissolution;Rue du Warchais 55;6210;Villers-Perwin;leopold.aerts@edpnet.be
Tubizeze - donnons-leur de l'espoir;Affaires sociales;Rue de l'Amérique 241;6010;Couillet;emmanuel.stoppele@belfius.be
Un toit pour domi;Affaires Sociales;Place Crawhez 45;6020;Dampremy;sylvie-carallo@hotmail.com
Union des commerçants et artisans de charleroi;gestion et finances;Grand Rue 223;6000;Charleroi;ucac@skynet.be
Vélo trial club les kangourous;Sport;Rue Mahy 10;6010;Couillet;kangourous.trial.be@gmail.com
Mode d'emploi initiatives d'insertion socio-professionnelle de vie féminine en region charleroi-thuin;Emploi / formation;Rue de Montigny 46;6000;Charleroi;charleroi@viefeminine.be
Vins et gourmandises de wallonie;Culture / Tourisme;Chausée de Châtelet, 42 bte 21;6060;Gilly;info@vinsetgourmandisesdewallonie.be
Visa jeunes;Jeunesse;Rue des Templiers 9;6220;Fleurus;visajeunes@chu-charleroi.be
Zone sud;Culture;Rue Julien Dulait 1 A;6001;Marcinnelle;zonesudasbl@gmail.com
1 toit 2 ages;Seniors;Rue Paul Pastur 68;6240;Farciennes;charleroi@1toit2ages.be
A.M.O. Pavillon J;Jeunesse;Rue Paul Pastur 121;6180;Courcelles;pavillonj@belgacom.net
Acp Association des Copropriétaires pastur;Affaires sociales;Avenue Pastur 418/27;6032;Mont-sur-Marchienne;info@lardinois.com
Ait-ala;Sport / Loisirs;Avenue de Waterloo 30/01/03;6000;Charleroi;azdine21@hotmail.com
Ajyal;Education/Formation;Place Try-colau, 12;6042;Lodelinsart;rharibm@ajyal.be
Alliance pour la mision d'intégration sociale;Intégration;Rue des Déportés 35A;6031;Monceau-sur-Sambre;armandovata@yahoo.com
Ambiance cubaine;Culture;Rue Adolphe  Desy 34;6031;Monceau-sur-Sambre;yosmani_sanchez@voo.be
Amicale des aînés socialistes de jumet;Seniors;Rue Octave de Falleur 1;6040;Jumet;jacques.semal@base.be
AIDE A LA RECONVERSION EN REGION DE CHARLEROI PAR L'INSERTION PROFESSIONNELLE ET LA CREATION D'EMPLOIS LOCAUX;Travail / Emploi;Rue de Trazegnies 41 (3ème étage );6031;Monceau-sur-Sambre;marieagnes.moreau@archipel-asbl.be
Association des sourds et malentendants de charleroi;Santé;Rue Chet 178;6061;Montignies-sur-Sambre;asmcharleroi@hotmail.com
Association espagnole parents d'élèves;Enseignement;Rue des Catelinettes 25;6200;Châtelineau;françois-jurado@splintex-glaverbel.com
Association francophone parkinson;Santé;Rue Sohier 4;6031;Monceau-sur-Sambre;edemolle12@yahoo.fr
Association pour la diffusion de l'evangile;Culte;Route de Mons 108;6031;Monceau-sur-Sambre;diffusion.evangile@brutele.be
Association pour l'esperanto;Culture / Enseignement;Rue du Basson 79;6001;Marcinelle;georges.sossois@hotmail.fr
Association saint-christophe;Culte;Rue Charnoy 5;6000;Charleroi;secretariat@paroisse-charleroi-vh.be
Association veronesi nel mondo;Tourisme;Rue du Calvaire 124;6031;Monceau-sur-Sambre;info@veronesinelmondo.be
Association wallonie europe;Affaires sociales;Rue Pierre Paulus 29;6000;Charleroi;santinon_antoine@voo.be
Atelier M;Jeunesse;Rue Monceau-Fontaine 35 A;6031;Monceau-sur-Sambre;info@atelierm.be
Azimut;Travail / Emploi;Rue Monceau Fontaine 42 bte15;6031;Monceau-sur-Sambre;azimut@azimut.cc
Belges issus de l'immigration;Immigration / Intégration;Chaussée de Fleurus 69;6060;Gilly;biimm@commu.be
Belgian golf one;Loisirs;Rue Vandervelde 74;6032;Mont-sur-Marchienne;moroicuj.houje@yahoo.fr
Bonsaï club carolorégien;Loisirs / Nature;Rue du 1er Décembre 44;6200;Châtelineau;vandenbremt.hugo@skynet.be
Carolo scuba diving club;Sport / Loisirs;Sentier de la Rampe 17;6061;Montignies-sur-Sambre;fa634386@skynet.be
Carol'or;Economie circulaire;Rue de Dampremy 24/3;6000;Charleroi;vincent.lorge@gmail.com
Cefa charleroi-thuin;Enseignement;Rue de Châtelet 22;6030;Marchienne-au-Pont;secretariat.csmf@skynet.be
Centre aéronautique carolorégien;Sport / Loisirs;Aérodrome de Cerfontaine Rue des Lacs 50;5630;Cerfontaine;marius.cohard@busmail.net
Centre culturel alevi du Grand charleroi;Affaires sociales;Rue de l'Eglise 23;6200;Châtelineau;alevicharleroi@hotmail.com
Centre culturel islamique de charleroi;Culte;Place de la Broucheterre  9;6000;Charleroi;nazma.khan.786@hotmail.com
ROYAL CHARLEROI SPORTING CLUB - Centre européen d'escrime de charleroi;Sport;Boulevard de l'Yser 13;6000;Charleroi;lecocqjeanlouis@yahoo.fr
Cercle d' histoire de gilly;Culture / Tourisme;chaussée de Fleurus, 194;6060;Gilly;o.vdd@hotmail.com
Cercle horticole carolo potiron;Nature;Rue d'Aiseau 222;6250;Aiseau-Presles;fortunato.laura@brutele.be
Cercle royal photographique de charleroi;Loisirs;Rue du Pont-à-Nôle 82;6032;Mont-sur-Marchienne;coqlet.jp@skynet.be
Cercle théâtre wallon de mont-sur-marchienne;Culture;Rue des Déportés 95;6032;Mont-sur-Marchienne;
Chantier;Emploi / formation;Rue de la Vieille Place 51;6001;Marcinelle;secretariat@eftchantier.be
Charbon actif;Culture;Rue de Heigne 34;6000;Charleroi;info@charbonactif.net
Charleroi métropolis;Education / Culture;Rue du Phénix 21;6020;Dampremy;charleroi.metropolis@gmail.com
Charleroi/danses, Centre chorégraphique de la communauté française Wallonie-Bruxelles;Culture;Boulevard Mayence 65 C;6000;Charleroi;isabelle@charleroi-danses.be
Tak/tak association sans but lucratif;Culture;Grand Place 9/10;6001;Marcinelle;peggyfrancart@gmail.com
Claddaghdance;Culture / Loisirs;Rue Paul Dechamps 47;6010;Couillet;claddaghdance@hotmail.com
Club alpin belge du hainaut;Sport / Loisirs;Rue des Combattants 21;6032;Mont-sur-Marchienne;secretcabh@hotmail.com
Collectif contraception de charleroi;Santé;Avenue des Alliés 26;6000;Charleroi;collectif.contraception.charleroi@skynet.be
Collectif de santé charleroi nord;Santé;Rue Dourlet 94;6000;Charleroi;chnord@skynet.be
Comité de la providence;Affaires sociales;Rue Blasse 13;6030;Marchienne-au-Pont;
Comité de liaison des associations patriotiques de charleroi;Culture;Rue Cornélis Debruyn 14/1;6042;Lodelinsart;fa294899@skynet.be
Comité de quartier de heigne;Affaires sociales;Rue de la Libération 5;6040;Jumet;mpa-nermin
Comité quartier centre marcinelle (qcm);Affaires sociales;Rue du Basson 79;6001;Marcinelle;georgecanille.sossois@compagnet.be
Compagnie comédia 77;Culture;Rue de la Vallée 21;6120;Nalinnes;info@comedia-77.be
Confrérie du coteau du maillon;Confrérie;Rue de la Poudrière 30;6060;Gilly;maillon.gilly@brutele.be
Cothan;Santé / Enfance;Rue de la Madeleine 21;6041;Gosselies;infos@cothan.org
Crazy alliance;Culture;Avenue de l'Europe 74;6000;Charleroi;spiro.dh@scarlet.be
Créad'âmes;Culture;Rue Martinsen 72;6030;Marchienne-au-Pont;fatianna@yahoo.fr
Csc (csc);Syndicat;Rue Pruniau 5;6000;Charleroi;prodriguez@acv-csc.be
D'un sens à l'autre;Affaires sociales;Rue du Moustier 58;6530;Thuin;evemariecoyette@hotmail.com
Editions tandem;Culture;Place d'Hymiée 42;6280;Gerpinnes;edition.tandem@skynet.be
El mojo des wallons, maison caroloregienne des traditions;Culture;Boulevard Roullier 1;6000;Charleroi;mw.charleroi@belgacom.net
Entente carolorégienne pour l'intégration de la personne handicapée;Handicap;Rue de l'Ancre 1A;6000;Charleroi;envol.saja.jumet@skynet.be
Entente wallonne des entreprises de travail adapté;Emploi / formation;Route de Philippeville 196;6010;Couillet;secretariat@eweta.be
Entre 2 wallonie;Affaires Sociales;Rue Desandrouin 13;6000;Charleroi;entre2wallonie@gmail.com
Fédération des compagnies de théâtre d'amateurs;Culture;Rue Bodrémont 19;5190;Jemeppe-sur-Sambre;fecota2@yahoo.fr
Fédération des centres de planning et de consultations;Famille;Chaussée de Haecht 579 BP 40;1030;Bruxelles;fcpc@tiscalinet.be
Fédération islamique de belgique section de charleroi;Culte;Boulevard Jacques Bertrand 77-79;6000;Charleroi;aiydinhn@gmail.com
Fédération nationale des patros;Jeunesse;Rue de l'Hôpital 17;6060;Gilly;secretariat@patro.be
Folklore et traditions de charleroi;Culture;Rue de la Chapelle 66;6030;Marchienne-au-Pont;christian.meysman@icloud.com
Groupe de rencontres et d'actions inter-religieuses;Culte;Avenue Général Michel 1B;6000;Charleroi;grair.charleroi@scarlet.be
Groupe d'information pour le renforcement du bien-être;immigration / Intégration;Avenue de l'Europe 1/001;6030;Marchienne-au-pont;girbasbl2002@gmail.com
Hoz-a;Sport / Loisirs;Avenue de l'Europe 50;6000;Charleroi;hoz-a@live.fr
Iles de vie;Nature / environnement;Rue Coleau 3;6061;Montignies-sur-Sambre;dd.david.dumont@skynet.be
Institut européen interuniversitaire de l'action sociale (ieias);Enseignement / Formation;Rue du Débarcadère 179;6001;Marcinelle;ieiasmayence@hotmail.com
Institut médico-pédagogique du hainaut;Enseignement;Rue du Débarcadère 100;6001;Marcinelle;dominique.dario@hainaut.be
Institut saint-andré;Enseignement;Rue du Parc  6;6000;Charleroi;isa.charleroi@sec.cfwb.be
J’arrive;Jeunesse;Rue de la Villette 84;6001;Marcinelle;asbljarrive@skynet.be
Jecreemonjob.be;Emploi / formation;Avenue des Alliés 24;6000;Charleroi;contact@jecreemonjob.be
J'y danse;Sport / Loisirs;Rue Hanoteau 23;6060;Gilly;info@jydanse.be
Animation culture jeunesse maison de jeunes de Charleroi et environs - La broc;Jeunesse;Avenue des Alliés 2;6000;Charleroi;pc03@swing.be
La compagnie des loufs;Culture;rue Paul Janson 48;6001;Marcinelle;compagniedesloufsasbl@gmail.com
La faim du mois;Affaires sociales;Place de la Digue 29;6000;Charleroi;imaneh@yahoo.com
La grange aux potiers;Culture / tourisme;Rue Emile Hermant 20;6200;Bouffioulx;info@arterre.be
La grosse valise;Culture;Place Wilson 138;6200;Chatelineau;lagrossevalise@mac.com
La maison du jazz en hainaut;Culture;Avenue Marie-José 56;7130;Binche;info@jazzhainaut.be
La pairotte;Culture / Tourisme;Avenue Houtard 61;6031;Monceau-sur-Sambre;jcbdx@skynet.be
La rochelle;Affaires sociales;Rue des écoles 2;6044;Roux;asbllarochelle@gmail.com
La ruche théâtre;Culture;Avenue Meurée 1;6001;Marcinelle;info@laruchetheatre.be
Le monde des 6e sens;Formation;Rue  Neuve 25;6141;Forchies-la-Marche;desprezfrance@hotmail.com
Le monde des etoiles;Culture;Rue Victor Lucq 67;6040;Jumet;lme.asbl@gmail.com
Le pachy du try;Nature/environnement;Rue Pachy du Try 25/1;6032;Mont-sur-Marchienne;thirimongero@gmail.com
Le progrès;Education / Formation;Rue Jules Destrée 11;6020;Dampremy;leprogres@commu.be
L'elan nivellois;Sport;rue d'azemont 35;1401;Baulers;elannivellois@hotmail.com
Lernafrica;Affaires sociales;Place Degauque 2;6142;Leernes;anny.szymutko@genappe.be
Les abeilles;Jeunesse;rue Saint Roch 22;6041;Gosselies;asbllesabeilles@hotmail.be
Les amis du p'tit bois;Nature / Environnement;Rue Saint Jacques 105;6032;Mont-sur-Marchienne;valandreve@gmail.com
Les amis du roton;Tourisme;Rue Bayemont 1;6000;Charleroi;charleroi.ecole9@brutele.be
Les ateliers de l'escargot;Culture;Rue des Lattes 4;5630;Daussois;ateliers.escargot@yahoo.fr
Les equipes populaires charleroi-thuin;Affaires sociales;Boulevard Tirou 167;6000;Charleroi;goffinet@equipespopulaires.be
Les jardins suspendus de thuin;Culture / Tourisme;Rue d'Anderlues 4;6530;Thuin;domithi@hotmail.com
Les mouvements de jeunesse de charleroi;Jeunesse;Rue du Moulin  178;6061;Montignies-sur-Sambre;contact@mdjcharleroi.be
Les rotonelles;Enseignement;Rue Nouvelle 1;6000;Charleroi;charleroi.ecole10@gmail.com
mouvement artistique d'improvisation régional;Culture;La Violette;6000;Charleroi;infos@theatre-impro.be
Maison croix-rouge du ravel;Affaires sociales;Rue Albert Camus 18;6031;Monceau-sur-Sambre;robertnicole48@gmail.com
Maison d'accueil l'ilot;Affaires sociales;Chaussée de Gilly 66;6040;Jumet;info@ilot.be
Maison du tourisme du pays de charleroi;Tourisme;Place Charles II 20;6000;Charleroi;anita.genicot@charleroi.be
Marche du souvenir 1815;Culture / Tourisme;Rue Jules Destrée 153;6040;Jumet;jcvermi@hotmail.com
Mosquée arrahma - association de foi et pratique de la religion islamique;Culte;Rue de Châtelet 52;6030;Marchienne-au-Pont;alikafor@hotmail.com
Musée de la photographie -  centre d'art contemporain de la communaute francaise;Culture;Avenue Paul Pastur 11;6032;Mont-sur-Marchienne;mpc.info@museephoto.be
Nos yeux dans la lumière;Handicap;Rue des Carrières 12 A;6010;Couillet;pineribetty@live.be
Mycose Galerie (ex OrdinoAdo);Culture;Avenue des alliés 4;6000;Charleroi;renaud@evolutech.eu
Parc des sports;Sport / Loisirs;Rue des Olympiades 2;6000;Charleroi;patricia.moiny@brutele.be
Petanque marcinelloise;Loisirs;Avenue Eugène Mascaux 879;6001;Marcinelle;
Plate -forme charleroi - palestine;Immigration /Intégration;Rue des Combattants 65;6020;Dampremy;charleroi.palestine@gmail.com
Promotion services;Affaires Sociales;Rue Julien Durant 58;6031;Monceau-sur-Sambre;asbl.promotion.services@gmail.com
Quartier  sart-allet;Affaires Sociales;Rue de Soleilmont 38;6060;Gilly;president.comite@laposte.net
Royal entente sportive roux;Sport / Loisirs;Rue Jules Boulvin 21;6044;Roux;resroux-baume@hotmail.com
Radio italia charleroi;Culture;Rue de Châtelet 293;6030;Marchienne-au-Pont;sanremo@radioitalia.be
J600 radio du folklore jumetois et de l'animation de ses quartiers;Culture;Rue Houtart 14/b;6040;Jumet;
Rescapes du genocide des tutsi vivant en hainaut et les familles des dix casques bleus belges et leurs sympathisants;Justice et droit;Rue Monin 41;6061;Montignies-sur-Sambre;a.autome@gmail.com
Rezippons la terre;Economie circulaire;Place du Perron 23;6200;Châtelet;elisabethstas@skynet.be
Service insertion intégration, missions actions;Formation;Rue Léopold 19/2;6000;Charleroi;sima.formation@belgacom.net
Shotokan karaté do marchienne;Sport;Place Albert 1er 1;6030;Marchienne-au-Pont;nathalie_wery@yahoo.fr
Smilesport;Sport / Loisirs;Rue Jean Bellière 9;6001;Marcinelle;martine_aquaturquoise@yahoo.fr
Solidarité montagnarde;Affaires sociales;Place Albert 1er 55;6061;Montignies-sur-Sambre;ph_somme@skynet.be
Technofutur tic - technologies de l'information;Formation;Avenue Jean Mermoz - Aéropole 18;6041;Gosselies;info@technofuturtic.be
Television, education, animation, culture;Culture;Place de la digue 8;6000;Charleroi;telesambre@telesambre.be
Toudi boudjî;Affaires sociales;Rue Léopold 36 d;6000;Charleroi;toudiboudji@gmail.com
Trempoline;Santé;Grand Rue 3;6200;Châtelet;info@trempoline.be
Unicef belgique;Enfance / Jeunesse;Boulevard de l'Impératrice 66;1000;Bruxelles;info@unicef.be
Universite ouverte de la federation wallonie-Bruxelles;Education / Formation;Boulevard Solvay 31;6000;Charleroi;info@uo-fwb.be
Vers la vie;Handicap;Rue de la Bruyère 157;6001;Marcinelle;nadine.adant@hainaut.be
Vie libre;Affaires sociales;Rue Clémenceau 35c;6044;Roux;lucadamaavl@yahoo.fr
Vita plus;Santé;Rue de la Neuville 2;6000;Charleroi;info@vitaplus.be
Volontariat social;Santé;rue Charles Dupret 1;6000;Charleroi;jerrybossa@gmail.com
