NOM;TVA;Forme Juridique;Nom du PAE;Adresse;CP;Localité;Téléphone;Fax;ACTIVITE;N° parcelle
C.E.F.A.;;;P.A.E. de Charleroi-Jumet;Première rue;6040.0;JUMET;071/35 62 50;071/35 14 75;Formation en alternance - Enseignement;2
CARO MAINTENANCE;476584358;;P.A.E. de Charleroi-Jumet;Troisième rue 12;6040.0;JUMET;071/48 78 58;071/47 27 78;Nettoyage industriel - Maintenance - Peinture & Sablage industriels;42
FEDASIL;860737913;;P.A.E. de Charleroi-Jumet;Deuxième rue 24;6040.0;JUMET;071/34 90 84;071/34 90 96;Centre d'accueil pour demandeurs d'asile;39
GRAPHI MEDIAS;426751894;;P.A.E. de Charleroi-Jumet;Allée Centrale 3/A;6040.0;JUMET;071/34 08 21;071/34 42  82;Publicité - Impression UV grand format - fraisage tous supports;56
LECOT;040535033;;P.A.E. de Charleroi-Jumet;Allée Centrale 5;6040.0;JUMET;071/37 25 75;;Distribution professionnelle de quincaillerie/outillage;11
MENUISERIE EMAC;440312593;;P.A.E. de Charleroi-Jumet;Allée Centrale 76;6040.0;JUMET;071/37 23 23;071/27 22 21;Fabrication de menuiseries en bois et pvc;57
MOROX;465100449;;P.A.E. de Charleroi-Jumet;Première rue 5;6040.0;JUMET;0465/10 04 49;;Agence immobilière;46
PYRONICS INTERNATIONAL;426668455;;P.A.E. de Charleroi-Jumet;Quatrième rue 25;6040.0;JUMET;071/25 69 70;071/25 69 79;Engineering et fabrication d'équipements de combustion industrielle;17
SERTIP;890316676;;P.A.E. de Charleroi-Jumet;Allée Centrale 55;6040.0;JUMET;071/34 54 18;071/34 55 02;Tuyauterie industrielle, chaudronnerie et montage;23
THOMAS WELDING SYSTEMS;435977782;;P.A.E. de Charleroi-Jumet;Troisième rue 18;6040.0;JUMET;071/91 97 60;071/91 96 71;Fabrication de machines et goujons de soudage;41
ZALUCO;426517611;;P.A.E. de Charleroi-Jumet;Deuxième rue 18;6040.0;JUMET;071/25 80 40;071/34 53 15;Menuiserie en aluminium, fabrication de charpentes;37
ALULACK;419366929;S.A.;P.A.E. de Courcelles;Rue de Liège 1;6180.0;COURCELLES;015/51 57 48;015/51 76 38;Poudrage électrostatique de l'aluminium;54
COLSAN;864757374;S.A.;P.A.E. de Courcelles;Rue de Liège 1;6180.0;COURCELLES;071/24 40 40;071/45 18 27;Fabrication articles métalliques;54
GAUFRES AND CO;630885921;S.P.R.L.;P.A.E. de Courcelles;Rue de Charleroi 11;6180.0;COURCELLES;071/68 99 52;;Fabricant gaufres, galettes, biscuits;44
JM CABAY;424523864;S.A.;P.A.E. de Courcelles;Rue du Brabant Wallon 1;6180.0;COURCELLES;071/45 14 61;071/46 01 42;Commercialisation de produits laitiers;4
JOHNSON & JOHNSON MD&D;876067871;;P.A.E. de Courcelles;Rue du Luxembourg 5;6180.0;COURCELLES;071/46 93 11;071/46 93 00;Entrepôt d'appareils médicaux et produits logistiques;20
Q8 INTERNATIONAL DIESEL SERVICES;404584525;;P.A.E. de Courcelles;Rue du Hainaut;6180.0;COURCELLES;;;Distribution de carburant;6
CLARENNE BETON;475264564;S.A.;Technoparc de Thudinie;Rue de la Sucrerie 1;6536.0;DONSTIENNES;071/53 56 76;071/53 49 54;Fabrication de béton prêt à l'emploi;
ALCATEL-LUCENT BELL;;;AEROPOLE;Rue Auguste Piccard 48;6041.0;GOSSELIES;032/40 39 52;;;I Tech 2
BRUTELE - VOO;205954655;;AEROPOLE;Rue des Frères Wright 9;6041.0;CHARLEROI;02/500 99 41;;Télécoms;Télécom 1
BSCA;;;AEROPOLE;Rue des Frères Wright 29;6041.0;GOSSELIES;071/25 14 50;;;Eole
CADMES BELGIUM;469021031;;AEROPOLE;Avenue Georges Lemaître 22;6041.0;GOSSELIES;071/35 14 83;071/37 74 47;Partenaire spécialisé dans l’appui des performances innovantes;19
CEBRUVAL;458894825;;AEROPOLE;Avenue Jean Mermoz 3/C;6041.0;CHARLEROI;071/25 60 41;071/25 60 44;Récupération et recyclage de déchets ménagers;2
DC HOTEL CHARLEROI AIRPORT;877205741;;AEROPOLE;Rue Santos Dumont 39;6041.0;CHARLEROI;071/34 77 00;071/34 77 10;Hôtel;52
ENERCON SERVICES BELGIUM;806283202;;AEROPOLE;Avenue Jean Mermoz 31;6041.0;CHARLEROI;071/34 47 35;071/34 49 36;Entretien éoliennes;2
EPICS THERAPEUTICS;690759071;;AEROPOLE;Rue Auguste Piccard 48;6041.0;GOSSELIES;071/34 85 00;;Développement de solutions thérapeutiques pour le cancer;I Tech 2
GALERE;424078555;;AEROPOLE;Avenue G. Lemaître 60;6041.0;CHARLEROI;071/34 98 20;071/34 98 35;Entreprise générale de construction;80
GESTANET;448894818;;AEROPOLE;Rue Clément Ader 12;6041.0;CHARLEROI;071/37 73 00;071/37 73 10;Nettoyage industriel;Télécom 2
HCTS - Hepatic Cell Therapy Support;841727891;;AEROPOLE;Rue Auguste Piccard 37;6041.0;CHARLEROI;010/39 43 30;;;47
IMMUNEHEALTH;475296139;;AEROPOLE;Rue Adrienne Bolland 8 bte12;6041.0;CHARLEROI;071/37 85 00;071/37 85 07;Recherche et développement en biotechnologie;Site Biopole
IMMUNXPERTS;552755587;;AEROPOLE;Rue Auguste Piccard 48;6041.0;CHARLEROI;071/96 01 33;;Recherche;I Tech 2
IOR System;424603246;;AEROPOLE;Avenue Jean Mermoz 22/10;6041.0;CHARLEROI;071/20 90 25;071/30 15 61;Services informatiques (Hébergement, développement, référencement) - Administration réseau et temps partagé;Mermoz 4
LOGI+;434220696;;AEROPOLE;Rue Clément Ader 1;6041.0;CHARLEROI;071/44 44 66 - 071/44 44 50;071/43 95 74;Electronique ferroviaire et industrielle;79
MASTHERCELL;840625061;;AEROPOLE;Rue Auguste Piccard 48;6041.0;CHARLEROI;071/34 76 29;;Production de cellules à but thérapeutiques;I Tech 2
NOKIA BELL;404621642;;AEROPOLE;Rue Auguste Piccard 48;6041.0;CHARLEROI;071/91 99 50;;;I Tech 2
ORTHOFOODS LABORATOIRES;872372666;;AEROPOLE;Rue Louis Blériot 40;6041.0;CHARLEROI;071/25 37 42;071/34 20 77;Production nutriments et compléments alimentaires;26
PROVERA BELUX;469214239;;AEROPOLE;Avenue Jean Mermoz 22;6041.0;CHARLEROI;071/34 95 69 ou 071/25 85 19;071/34 95 75;Activités de soutien aux entreprises;Mermoz 4
SECUREX;877510104;;AEROPOLE;Rue Santos Dumont 5;6041.0;CHARLEROI;071/23 11 11;071/23 11 22;Services aux entreprises, services sociaux et assurances;54
SELECT HUMAN RESOURCES;428836604;;AEROPOLE;Rue Adrienne Bolland 47;6041.0;CHARLEROI;071/90 50 10;071/90 50 11;Intérim - Recrutement et sélection;66
SOWAER;475247837;;AEROPOLE;Rue des Frères Wright 29;6041.0;CHARLEROI;071/34 91 57;;Développement et gestion des infrastructures aéroportuaires;Eole
TECHNOFUTUR TIC;463962381;;AEROPOLE;Avenue Jean Mermoz 18;6041.0;CHARLEROI;071/25 49 60;071/25 49 88;Formation et sensibilisation aux TIC;13
UNDERSIDE;471729212;;AEROPOLE;Avenue Georges Lemaître 5;6041.0;CHARLEROI;064/21 60 04;;Infogérance, formation et développement;84
VERANDA PRO;830220525;;AEROPOLE;Avenue Jean Mermoz 29;6041.0;CHARLEROI;;;Conception de vérandas alu sur mesure;Wagner
W. TEAM;478981050;;AEROPOLE;Avenue Jean Mermoz 29;6041.0;CHARLEROI;071/25 92 59;071/35 21 27;Société de services;Wagner
ESTHETICAR;;;P.A.E. de Charleroi-Airport 1;Rue de Bordeaux 50;6040.0;JUMET;;;Service d'esthétique automobile;Artémis
ETABLISSEMENTS DRUART;;;P.A.E. de Charleroi-Airport 1;Rue d'Edimbourg;6040.0;JUMET;;;Chauffage, ventilation, climatisation;13
SAHIN CONSTRUCTION;;;P.A.E. de Charleroi-Airport 1;Rue des Frères Orban 124;6020.0;DAMPREMY;;;Construction et dépôt;2
SMOKE AND SMILE;;;P.A.E. de Charleroi-Airport 1;Rue de Bordeaux 50;6040.0;JUMET;;;Cigarette électronique;Artémis
U2S;;;P.A.E. de Charleroi-Airport 1;Rue de Bordeaux 50;6040.0;JUMET;;071/15 91 49;Gestion d'entreprise et consultance;Artemis
V.D.T. INDUSTRIES;;;P.A.E. de Charleroi-Airport 1;Rue de Venise;6040.0;JUMET;;;Atelier mécanique, tournage, fraisage, réparations;17
ADECCO;404221962;;AEROPOLE;Rue Adrienne Bolland 47;6041.0;CHARLEROI;071 20 69 30;;Agence de travail temporaire;66
AIGLES (Association informatique pour la gestion de logements);472760182;;AEROPOLE;Avenue Jean Mermoz 30 Bte 10;6041.0;CHARLEROI;071/20 05 00;071/20 05 05;Développement de logiciels en gestion de logement;Mermoz 1
ALLIOR;;;AEROPOLE;Rue Jean Mermoz 30;6041.0;CHARLEROI;;;;Mermoz 1
ASCENCIO;881334476;;AEROPOLE;Avenue Jean Mermoz 1 bte 4 bât H;6041.0;CHARLEROI;071/91 95 00;071/34 48 96;Investissement immobilier;1
BE TV;435115967;;AEROPOLE;Avenue Georges Lemaître 21;6041.0;CHARLEROI;02/730 03 00;02/730 02 02;Centre de diffusion numérique;Télécom 1
BIOPARK Charleroi Brussels South;;;AEROPOLE;Rue Adrienne Bolland 8;6041.0;CHARLEROI;02/650 98 69;;Biotech;I Tech 2
BIOPARK DEV;479250670;;AEROPOLE;Rue Auguste Piccard 48;6041.0;CHARLEROI;071/20 28 89;;Biotech;I Tech 2
CED INTERNATIONAL;870335468;;AEROPOLE;Avenue Jean Mermoz 30;6041.0;CHARLEROI;071/44 64 20;071/44 64 30;Domaine de la gestion de sinistres;Mermoz 1
CEGELEC;402031346;;AEROPOLE;Rue Santos Dumont 3;6041.0;CHARLEROI;071/60 65 11;071/60 65 64;Techniques spéciales du bâtiment;54 et 10
CLYDE BERGEMANN FOREST;427590054;;AEROPOLE;Avenue Jean Mermoz 29;6041.0;CHARLEROI;071/91 94 10;071/91 94 12;Vente de pièces de rechange, entretien, maintenance et réparation de systèmes de nettoyage pour chaudières et fours industriels;Wagner
D.A.S.;401620778;;AEROPOLE;Avenue Jean Mermoz 29 C;6041.0;CHARLEROI;071/20 06 02;071/30 76 94;Assurances (Bureaux);Wagner
DIAMANT DRILLING SERVICES;469982222;;AEROPOLE;Avenue Jean Mermoz 29;6041.0;CHARLEROI;071/82 39 30;071/82 39 31;Fabrication d'outillage;Wagner
ENDO TOOLS THERAPEUTICS;807570233;;AEROPOLE;Rue Auguste Piccard 48;6041.0;CHARLEROI;071/91 94 09;;Développement de matériel médical;I Tech 2
FISC'IMMO;465048880;;AEROPOLE;Avenue G. Lemaître 57;6041.0;CHARLEROI;071/41 00 15;071/42 16 12;Comptabilité;Thalès
HSS - UNITE 15 Belgique;452232806;;AEROPOLE;Avenue G. Lemaître 21;6041.0;CHARLEROI;071/91 92 93;071/34 46 01;Call Center;Télécom 1
INNOVATECH;475787671;;AEROPOLE;Rue Auguste Piccard, 20;6041.0;CHARLEROI;071/91 98 60;071/91 98 69;Conseil et management de l'innovation technologique;55
ITEOS Therapeutics;838316659;;AEROPOLE;Rue des Frères Wright 29;6041.0;CHARLEROI;071/91 99 34;;Recherche et développement;Eole
KRAKEN REALTIME;561786089;;AEROPOLE;Rue Auguste Piccard 48;6041.0;CHARLEROI;;;Conception de visualisations intéractives en 3D temps réel;I Tech 2
MAC & JB;459154745;;AEROPOLE;Rue Auguste Piccard 48;6041.0;CHARLEROI;071/15 90 77;;Accompagnement dans la gestion et le financement de projets d'implantations d'usines, d'expansion d'activités existantes, d'innovation, de R&D, de marketing, de développement à l'international et de mise en place de nouvelles techniques de management;I Tech 2
MICHELIN BELUX;400906146;;AEROPOLE;Rue Louis Blériot 24;6041.0;CHARLEROI;071/25 61 01;071/35 01 59;Stockage et distribution de pneus pour l'industrie et l'agriculture;8
MINORYX;713984534;;AEROPOLE;Rue Auguste Piccard 48;6041.0;CHARLEROI;078/70 01 62;;Biotech à l'étape clinique (développement de nouvelles thérapies);I Tech 2
PIRON Architectes;474289517;;AEROPOLE;Avenue Georges Lemaître 57;6041.0;CHARLEROI;071/31 46 20;071/31 44 75;Activités d'ingénierie, strabilité, techniques spéciales;Thalès
RAPOSO;553839811;;AEROPOLE;Rue Louis Blériot;6041.0;CHARLEROI;071/27 78 78;071/31 19 80;Menuiseries extérieures - Services logistiques et administratifs;17
SAMBRINVEST;427908867;;AEROPOLE;Avenue Georges Lemaître 62;6041.0;CHARLEROI;071/25 94 94;071/25 94 99;Société de financement;16
SIRRIS;406606380;;AEROPOLE;Rue Auguste Piccard 26;6041.0;CHARLEROI;071/35 56 33;071/25 03 98;Recherche et Développement en matériaux, fabrication rapide de produits ou prototypes, conseils dans l'utilisation rationnelle de matériaux performants pour la conception et la fabrication de produits;55
SISE;841727101;;AEROPOLE;Rue Auguste Piccard 37;6041.0;CHARLEROI;;;Centrale d'énergie;47
TECHNOCAMPUS;872426116;;AEROPOLE;Rue Auguste Piccard 20;6041.0;CHARLEROI;071/25 36 19;071/25 36 22;Formation et sensibilisation aux technologies;55
TECHNOCAMPUS - SITE MECATRONIQUE;872426116;;AEROPOLE;Rue Auguste Piccard 23;6041.0;CHARLEROI;071/37 80 50;071/37 80 79;Centre de formation;51
TRAVEL SENSATIONS;803302077;;AEROPOLE;Avenue Jean Mermoz 30;6041.0;CHARLEROI;071/25 40 10;071/37 13 60;Tour Operating;Mermoz 1
UNITE 15 Belgique;452232806;;AEROP0LE;Avenue Georges Lemaître 21;6041.0;CHARLEROI;071/91 92 93;;;Télécom 1
VIRIDAXIS;866678469;;AEROPOLE;Rue Louis Blériot 11;6041.0;GOSSELIES;071/48 72 25;;Lutte contre les pucerons - Production, recherche, développement et commercialisation;43
WAGRALIM;885635635;;AEROPOLE;Rue Auguste Piccard 20;6041.0;CHARLEROI;071/91 92 86;;Pôle de compétitivité agroalimentaire;55
IMAPROS;;;P.A.E. de Charleroi-Airport 1;Rue d'Edimbourg, 30;6040.0;JUMET;071/27 87 00;071/27 87 09;Fabrication d'enseignes lumineuses;5
THERAVET;;;P.A.E. de Charleroi-Airport 1;Rue de Bordeaux 50;6040.0;JUMET;;;;
ATELIER 3000;677438102;A.S.B.L.;P.A.E. de Fleurus-Heppignies;Avenue de Heppignies 42;6220.0;HEPPIGNIES;071/37 44 00;071/37 43 93;Entreprise de travail adapté;20
DREAMCAR.BE;;S.A.;P.A.E. de Fleurus-Heppignies;Avenue de Heppignies 31;6220.0;HEPPIGNIES;067/44 45 70;;Import/Export;18
DYKA PLASTICS;414467340;S.A.;P.A.E. de Fleurus-Heppignies;Avenue de Heppignies 1;6220.0;FLEURUS;071/34 40 18 - 071/34 41 03;071/34 43 79;Piping synthétique;4
ENTRA GROUP;406645972;A.S.B.L.;P.A.E. de Fleurus-Heppignies;Rue du Tilloi 11;6220.0;HEPPIGNIES;071/25 39 00;071/35 19 07;Entreprise de travail adapté;28 - 33
EURO FISH EQUIPMENT;445973237;S.A.;P.A.E. de Fleurus-Heppignies;Rue du Capilone;6220.0;HEPPIGNIES;071/81 50 77;071/81 53 86;Fabrication d'aérateurs, étude et installation de fontaines et pièces d'eau;1
MECANIK'ART;;S.A.;P.A.E. de Fleurus-Heppignies;Avenue de Heppignies 35;6220.0;FLEURUS;;;Carrosserie, réparations autos;
TELE-TECHNIQUE GENERALE;428409903;S.A.;P.A.E. de Fleurus-Heppignies;Avenue de Heppignies 3;6220.0;HEPPIGNIES;071/25 70 23;071/25 70 49;Installation de systèmes de sécurité électroniques;8
LES COMBUSTIBLES DETHYE;472182439;S.A.;Technoparc de Thudinie;Rue de la Sucrerie 17;6536.0;DONSTIENNES;060/21 50 26;060/21 50 27;Commerce de gros de combustibles;
QNT;431635548;S.A.;Technoparc de Thudinie;Technoparc de Thudinie 3;6536.0;DONSTIENNES;071/53 48 11;071/53 48 09;Gros art sport et camping, cycles, jeux;
BPOST;214596464;;PAE de Beaumont;Rue Madame 10;6500.0;BEAUMONT;022/012345;;Bureau de poste;
ERTEK;633604196;S.C.R.L.;P.A.E. de Charleroi-Gosselies 2;Rue du Cerisier 20D;6041.0;CHARLEROI;071/34 35 53;071/ 34 28 42;Grossiste Horeca;4
ATTECCAM;480140201;S.P.R.L.;P.A.E. de Fleurus-Martinrou;Rue des Fabriques, 9;6220.0;FLEURUS;071/37 73 33;071/37 73 30;Assemblage et construction métalliques;73
ENGETIL;452053652;S.A.;P.A.E. de Fleurus-Martinrou;Rue des Fabriques 12;6220.0;FLEURUS;071/85 80 12;;Fumisterie industrielle;41
PARAGRAPH IMPRIMERIE;450173040;S.P.R.L.;P.A.E. de Fleurus-Martinrou;Rue du Bassin 4;6220.0;FLEURUS;071/37 67 07;071/35 22 46;Imprimerie;42
POMFRESH;424931462;S.P.R.L.;P.A.E. de Fleurus-Martinrou;Rue des Sources 13;6220.0;FLEURUS;071/80 09 40;071/80 09 42;Conditionnement de la pomme-de-terre;77
PYROTECH Marbrerie;447452882;S.P.R.L.;P.A.E. de Fleurus-Martinrou;Rue du Rabiseau, 11;6220.0;FLEURUS;;071/88 81 12;Marbrerie;28
R.F.M. MECANIQUES;445093309;S.A.;P.A.E. de Fleurus-Martinrou;Rue du Berlaimont 15;6220.0;FLEURUS;071/81 64 88;071/81 64 84;Construction mécanique - Maintenance industrielle;5
RALLYRAIDERS WAVE IN ALL;;S.A.;P.A.E. de Fleurus-Martinrou;Rue du Progrès 6;6220.0;FLEURUS;;;Vente de vêtements spécialisés sports motos;78
SERVIDIO;441952487;S.P.R.L.;P.A.E. de Fleurus-Martinrou;Rue du Rabiseau 9;6220.0;FLEURUS;071/34 50 32;071/34 58 57;Entreprise générale maçonnerie et toiture;29
SINOBOX;0419859055;S.P.R.L.;P.A.E. de Fleurus-Martinrou;Rue du Rabiseau 12;6220.0;FLEURUS;071/87 40 13;071/87 40 14;Commerce d'emballages boîtes en carton neuves et de réemplois;16
V.I.P. Cuisines COMPONENT;451006943;S.P.R.L.;P.A.E. de Fleurus-Martinrou;Rue des Fabriques 6;6220.0;FLEURUS;071/81 80 01;071/88 76 00;Importation d'équipements pour cuisine équipée;38
BOXAIR;;;P.A.E. de Montignies-sur-Sambre;Rue Brachot 11;6061.0;MONTIGNIES-SUR-SAMBRE;;;;21
CHEYNS;441745126;S.A.;P.A.E. de Montignies-sur-Sambre;Rue des Pays-Bas 20;6061.0;MONTIGNIES-SUR-SAMBRE;071/30 77 27;071/30 72 65;Grossiste électricité;13
DIMA CHASSIS;893828868;S.P.R.L.;P.A.E. de Montignies-sur-Sambre;Rue du Marais 34;6061.0;MONTIGNIES-SUR-SAMBRE;071/48 71 54;071/48 71 54;Travaux de menuiserie - Pose de vitrage;7
ENTREPRISES GENERALES PAUL MATHIEU;401664033;S.A.;P.A.E. de Montignies-sur-Sambre;Rue Champeau 6;6061.0;MONTIGNIES-SUR-SAMBRE;071/30 48 98;071/30 43 53;Entreprise générale en construction;4
EURO-CARRO;443746492;S.C.R.L;P.A.E. de Montignies-sur-Sambre;Rue des Pays-Bas 119;6061.0;MONTIGNIES-SUR-SAMBRE;071/33 01 73;071/50 04 47;Découpe et façonnage de carrelages;33
GO TO;447124963;S.A.;P.A.E. de Montignies-sur-Sambre;Rue Champeau 1;6061.0;MONTIGNIES-SUR-SAMBRE;071/20 17 70;071/20 17 79;Fabrications métalliques - Usinage des métaux - Mécanique verrière & industrielle;11
I.L.I.S. (Immobilière Lozano Izzarelli Sollima);462365841;S.A.;P.A.E. de Montignies-sur-Sambre;Rue des Hauts Fourneaux 8;6200.0;CHÂTELINEAU;071/25 01 60;071/24 38 19;Grossiste Horeca;Hall relais
MARULLO - CONSTRUCTION - INDUSTRIE (M.C.I.);417865419;S.A.;P.A.E. de Montignies-sur-Sambre;Rue Champeau 16;6061.0;MONTIGNIES-SUR-SAMBRE;071/30 71 28;071/33 49 08;Travaux de construction y compris ouvrages d'art;24
BIERES DE CHIMAY;438560655;S.A.;PAE de Baileux;Route Charlemagne 8;6464.0;BAILEUX;060/21 03 11;060/21 34 22;Brasserie;
CHIMAY FROMAGES;420090667;S.C.R.L.;PAE de Baileux;Route Charlemagne 3;6464.0;BAILEUX;060/21 04 50;060/21 38 55;Production et commercialisation de fromages;
DISCOBEER;414949766;S.A.;PAE de Baileux;Zoning industriel 5b;6464.0;BAILEUX;060/21 12 99;060/21 42 76;Commerce de gros de boissons;
DRAUX FRANZ;436705480;S.P.R.L.;PAE de Baileux;Zoning industriel 4d;6464.0;BAILEUX;060/21 21 90;060/21 21 23;Entreprise bâtiment construction;
EGGO;421312867;S.A.;PAE de Baileux;Route Charlemagne 11;6464.0;BAILEUX;060/21 46 13;060/21 33 94;Commerce de gros et détail en électroménager;
PIRLOT FRANCOISE;625932288;P.P.;PAE de Baileux;Rue Fernand Tilquin 16;6463.0;LOMPRET;060/21 13 70;060/21 59 46;Construction de voies ferrées, chaussées, pistes;
CUVELIER FRERES;447776348;S.C.A.;P.A.E. de Frasnes-lez-Gosselies;Rue des Artisans 4;6210.0;FRASNES-LEZ-GOSSELIES;071/85 17 64;071/85 23 19;Caisserie + contrôle Qualité verrerie;8
D.S.N. DI SANTO NICOLAS;478764185;S.P.R.L.U.;P.A.E. de Frasnes-lez-Gosselies;Rue des Artisans 21;6210.0;FRASNES-LEZ-GOSSELIES;071/45 95 01;071/45 95 01;Torréfaction de café, thés en vrac, tisanes;25
DEMONTE - FAGNARD;614413638;;P.A.E. de Frasnes-lez-Gosselies;Rue Uyttebroeck;6210.0;FRASNES-LEZ-GOSSELIES;071/35 37 70;;Vente de gaz;9
DONEUX FRASNES;473375440;S.A.;P.A.E. de Frasnes-lez-Gosselies;Chemin du Saucy, 18;6210.0;FRASNES-LEZ-GOSSELIES;071/30 82 08;071/33 11 06;Vente de machines agricoles;
BIOSENSYS;871249941;S.A.;P.A.E. de Charleroi-Gosselies 1;Avenue des Etats-Unis 7;6041.0;CHARLEROI;071/37 31 21;071/25 87 19;Design, réalisation, installation et service de machines automatiques, robotiques, en mécanique électronique et logiciel;4
GIMACO;463763037;S.P.R.L.;P.A.E. de Charleroi-Gosselies 1;Avenue des Etats-Unis 90;6041.0;GOSSELIES;071/37 30 73;071/37 30 73;Station de lavage camion;2
WONITROL;425272744;S.A.;P.A.E. de Charleroi-Gosselies 1;Avenue des Etats-Unis 150;6041.0;CHARLEROI;071/35 92 23;071/37 31 53;Carrosserie;5
PETROSHOP;893830056;S.P.R.L.;P.A.E. du Roton;Rue du Roton 64;6240.0;FARCIENNES;071/40 30 55;;Commerce de détail de carburants automobiles en magasin spécialisé;
SALVA TRANS;458481584;S.C.R.I.S.;P.A.E. du Roton;Rue du Roton 76;6240.0;FARCIENNES;071/37 70 41;071/37 70 57;Transports nationaux et internationaux;10
SPEED TEAM WINDOWS;806265582;S.P.R.L.;P.A.E. du Roton;Rue du Roton 54/1;6240.0;FARCIENNES;071/40 17 12;071/40 47 12;Menuiserie intérieure et extérieure;8
MEUNIER GROUP;401170917;S.A.;PAE de Momignies;Rue Mandenne 34;6590.0;MOMIGNIES;060/51 00 51;060/51 00 52;Electricité industrielle;
THIRY LOCATION;867706867;S.P.R.L.;PAE de Momignies;Chemin des Culées;6590.0;MOMIGNIES;060/41 25 66;060/21 13 69;Matériel génie civil;
FULL LOGISTIC THUIN SA & FULL SERVICES SPRL;871729102;S.A.;PAE de Thuin-Lobbes;Avenue Deli XL, 8;6530.0;THUIN;071/59 72 32;071/59 72 38;Transport et logistique + Négoce produits pétroliers;
GESTANET*;448894818;S.A.;P.A.E. de Charleroi-Airport 2;Rue de Gosselies 13;6040.0;JUMET;;04/256 50 79;Autres activités de nettoyage des bâtiments, nettoyage industriel;Atlas bureau
AD EXPORT;695660145;S.A.;P.A.E. de Fleurus-Farciennes;Avenue de Lambusart 25;6220.0;FLEURUS;;;Import Export;44
ART & AURA;474144116;S.P.R.L.;P.A.E. de Fleurus-Farciennes;Avenue de Lambusart 25;6220.0;FLEURUS;;;;44
BELIX;875331463;S.P.R.L.;P.A.E. de Fleurus-Farciennes;Avenue de l'Espérance 41;6220.0;FLEURUS;071/80 06 80;;Commerce de gros;86
BRASSERIE BROUTA;435944823;S.A.;P.A.E. de Fleurus-Farciennes;Rue de Fontenelle  2;6240.0;FARCIENNES;071/81 01 11;071/81 16 12;Distribution de produits alimentaires;25
CROSSFIT HELIACA;672382026;S.P.R.L.;P.A.E. de Fleurus-Farciennes;Avenue de Lambusart 25;6220.0;FLEURUS;0491/72 20 80;;Salle de fitness;44
D.A.S.I. Fleurus Dépannage;822595632;S.P.R.L.;P.A.E. de Fleurus-Farciennes;Avenue du Marquis 20;6220.0;FLEURUS;067/55 26 66;071/81 55 13;Atelier de réparation automobile;
DE'LONGHI GROUP SERVICE;543577211;;P.A.E. de Fleurus-Farciennes;Avenue du Marquis 32;6220.0;FLEURUS;071/35 90 28;071/96 25 01;Réparation d'appareils électroménagers;14
DG MOTOR;871064849;S.P.RL.;P.A.E. de Fleurus-Farciennes;Avenue du Marquis 1;6220.0;FLEURUS;071/88 00 88;071/81 18 63;Garage concessionnaire Audi-VW;2
FAIRWIND;893326646;S.A.;P.A.E. de Fleurus-Farciennes;Avenue de Spirou 32;6220.0;FLEURUS;071/39 07 68;;Fabrication éoliennes (petit éolien vertical);38
FLEURUS MEDICAL;440592608;S.P.R.L.;P.A.E. de Fleurus-Farciennes;Avenue du Marquis 7;6220.0;FLEURUS;071/82 38 70;071/81 80 58;Vente de matériel médical;50
FORREZ FLEURUS (Profil Tyre Center);872213904;S.A.;P.A.E. de Fleurus-Farciennes;Avenue de Fontenelle 1;6220.0;FLEURUS;071/81 68 81;071/81 20 42;Vente et montage de pneus - Entretien et petite réparation;5
GREEN LINE INDUSTRIAL;428565497;S.P.R.L.;P.A.E. de Fleurus-Farciennes;Avenue de Spirou 6;6220.0;FLEURUS;071/87 58 45;071/87 58 46;Recherche / Développement / Fabrication et commerce de produits d'hygiène et de maintenance ayant un impact positif sur l'environnement;26
HANDARY;817450771;S.A.;P.A.E. de Fleurus-Farciennes;Avenue du Marquis 33;6220.0;FLEURUS;02/374 63 14;;Commerce de gros produits chimiques industriels;11
IMMO FILANOEUDS;434354617;;P.A.E. de Fleurus-Farciennes;Route du Vieux Campinaire 46A;6220.0;FLEURUS;071/50 30 11;;Exploitation et location de biens immobiliers résidentiels;11
KARRAS;437114167;S.A.;P.A.E. de Fleurus-Farciennes;Avenue de Lambusart 11;6220.0;FLEURUS;071/81 61 80;071/81 03 76;Fabrication alimentation grecque;52
LABORATOIRE CENTRAL DE LA SWDE;230132005;S.C.R.L.;P.A.E. de Fleurus-Farciennes;Avenue de l'Espérance 14;6220.0;FLEURUS;071/82 59 11;071/82 59 00;Analyses d'eaux;35
MONTE;471093861;S.P.R.L.;P.A.E. de Fleurus-Farciennes;Rue de Martinroux 26;6220.0;FLEURUS;071/82 04 55;071/85 26 55;Entretien - vente - réparation autobus et autocars;76
PIKKASSO CONCEPT;;S.C.S.;P.A.E. de Fleurus-Farciennes;Route du Vieux Campinaire 46A;6220.0;FLEURUS;0475/80 41 11;;Impression textiles;11
S.E.L. SERVICES (Selection Expertise Label-Wines);;S.A.;P.A.E. de Fleurus-Farciennes;Avenue du Marquis 32;6220.0;FLEURUS;0489/39 10 73;;Négoce en vins;14
SANIJURA BENELUX;414404982;S.A.;P.A.E. de Fleurus-Farciennes;Avenue de l'Espérance 10;6220.0;FLEURUS;071/87 05 00;071/81 48 10;Négoce meubles de salles de bains;15
SYNC-SOLUTION;438067737;S.A.;P.A.E. de Fleurus-Farciennes;Avenue du Marquis 9;6220.0;FLEURUS;0800/82 015;;Création de messages, gestion de centrales téléphoniques, gestion globale de téléphonie;3
